date,pnl
2025-07-08 00:00:00-04:00,-309.5
2025-07-16 00:00:00-04:00,546.928571428587
2025-07-18 00:00:00-04:00,-263.875
2025-08-01 00:00:00-04:00,640.678571428587
2025-08-13 00:00:00-04:00,280.4107142857247
2025-08-20 00:00:00-04:00,-692.9821428571377
2025-08-22 00:00:00-04:00,366.6607142857247
2025-08-26 00:00:00-04:00,45.5
2025-09-05 00:00:00-04:00,110.5
2025-09-23 00:00:00-04:00,-268.428571428587
2025-09-30 00:00:00-04:00,-177.0
2025-10-21 00:00:00-04:00,479.696428571413
2025-11-07 00:00:00-05:00,-654.678571428587
2025-12-12 00:00:00-05:00,-949.321428571413
2025-12-15 00:00:00-05:00,608.0
2025-12-30 00:00:00-05:00,55.5
2025-12-31 00:00:00-05:00,-278.60714285713766
